"","0050","0056","006205","00646"
"1",59.35,21.06,30.98,19.54
"2",59.59,21.25,31.66,19.7
"3",60.11,21.5,31.67,19.8
"4",60.78,21.76,32.06,20.05
"5",60.78,21.97,32.23,19.87
"6",60.31,21.99,32.62,19.64
"7",60.62,21.98,33.11,19.71
"8",61.06,22.12,33.35,19.8
"9",61.39,22.09,33.02,20.01
"10",61.41,21.94,33.02,19.98
"11",61.55,22.04,32.87,19.99
"12",61,21.95,32.14,19.99
"13",60.72,21.94,31.98,20.12
"14",60.75,21.81,31.97,20.07
"15",59.62,21.51,31.02,19.9
"16",59.3,21.42,29.94,19.78
"17",58.33,21.15,29.94,19.68
"18",57.3,20.91,28.41,19.5
"19",57.33,20.95,28.62,19.32
"20",56.47,20.64,28.47,18.92
"21",56.57,20.73,27.97,19.02
"22",57.2,20.73,28.21,19.29
"23",56.26,20.49,27.05,18.77
"24",56.69,20.55,27.49,19
"25",56.61,20.4,27.11,18.75
"26",56.97,20.67,27.74,18.83
"27",56.01,20.57,27.67,18.55
"28",55.99,20.44,27.62,18.64
"29",56.29,20.42,27.3,18.7
"30",57.48,20.72,27.6,18.95
"31",56.9,20.73,27.15,18.69
"32",57.19,20.83,25.88,18.85
"33",57.52,20.94,25.7,18.85
"34",58.4,21.24,25.65,18.9
"35",59.51,21.48,26.21,19.21
"36",59.38,21.54,25.69,19.18
"37",59.36,21.7,25.66,19.07
"38",58.94,21.6,25.47,18.79
"39",58.8,21.54,25.42,18.56
"40",59.91,21.74,26.47,18.57
"41",60.16,21.91,26.56,18.69
"42",60.9,22.1,26.94,19
"43",60.83,22.21,26.74,18.9
"44",61.21,22.23,27.07,18.95
"45",60.85,22.22,27.13,19.06
"46",60.76,22.22,27,18.9
"47",61.06,22.26,26.56,19.02
"48",61.25,22.39,25.9,19.22
"49",61.7,22.58,25.55,19.02
"50",62.5,22.77,26.09,19.39
"51",62.88,22.79,26.7,19.46
"52",63.07,22.79,26.77,19.45
"53",63.29,22.87,27.27,19.39
"54",62.82,22.58,26.68,19.37
"55",62.89,22.55,26.78,19.31
"56",63.24,22.68,27.03,19.46
"57",63.44,22.75,26.59,19.47
"58",64.14,22.86,27.11,19.6
"59",63.63,22.57,26.89,19.61
"60",63.58,22.52,26.99,19.61
"61",64.56,22.68,27.34,19.69
"62",64.65,22.74,27.74,19.64
"63",64.57,22.74,28.35,19.62
"64",64.16,22.68,28.37,19.69
"65",64.5,22.59,28.13,19.67
"66",64.18,22.41,27.86,19.63
"67",64.14,22.43,27.72,19.71
"68",64.12,22.41,27.93,19.75
"69",63.85,22.24,27.45,19.7
"70",64.62,22.33,27.49,19.77
"71",64.82,22.44,27.83,19.73
"72",63.93,22.31,27.52,19.7
"73",62.54,22.05,27.87,19.73
"74",61.95,21.95,27.87,19.82
"75",62.47,21.95,27.49,19.7
"76",62.72,21.96,27.83,19.66
"77",63.11,22.01,27.79,19.61
"78",63.93,22.1,28.28,19.78
"79",64.31,22.24,28.37,19.93
"80",64.18,22.26,28.31,19.97
"81",63.95,22.23,28.03,19.87
"82",64.07,22.23,27.92,20.02
"83",63,21.93,27.29,20.02
"84",62.91,21.85,27.38,20.08
"85",63.1,21.78,27.3,20.04
"86",63.21,21.84,27.15,20.01
"87",63.59,21.99,27.26,20.03
"88",63.36,21.99,27.37,19.98
"89",62.57,21.82,27.23,20.06
"90",61.63,21.58,27.17,19.82
"91",60.95,21.36,27.42,19.84
"92",60.24,21.05,27.47,19.73
"93",59.89,20.86,27.5,19.73
"94",59.64,20.77,27.34,19.65
"95",59.68,20.78,26.62,19.74
"96",59.82,20.77,26.3,19.84
"97",59.84,20.89,26.45,20.02
"98",59.79,20.83,26.32,19.91
"99",59.2,20.59,26.49,19.89
"100",59.46,20.75,26.4,19.83
"101",59.63,20.83,26.53,19.99
"102",59.68,20.85,26.1,19.83
"103",59.58,20.8,26.34,19.86
"104",60.04,20.8,26.42,19.88
"105",61.15,21.12,26.53,19.88
"106",61.56,21.27,26.31,19.85
"107",62.05,21.45,26.49,20.11
"108",62.05,21.48,26.28,20.14
"109",62.43,21.67,26.31,20.16
"110",62.88,21.82,26.38,20.3
"111",63.1,21.86,27.1,20.31
"112",63.59,22.03,27.34,20.28
"113",63.79,22.09,27.2,20.26
"114",63.83,22.04,27.2,20.31
"115",63.9,22.04,27.21,20.16
"116",64.18,22.02,27.14,20.1
"117",64.68,22.21,27.12,20.19
"118",65.35,22.39,26.91,20.14
"119",64,22.14,26.52,20.06
"120",64.01,22.17,26.05,19.99
"121",64.24,22.25,26.16,19.93
"122",63.46,22.14,26.22,19.9
"123",64.2,22.27,26.4,19.98
"124",64.51,22.4,26.36,20.01
"125",64.74,22.55,26.52,19.96
"126",64.81,22.57,26.4,19.94
"127",64.75,22.52,26.43,20
"128",63.42,22.16,26,19.49
"129",63.51,22.04,26.19,19.52
"130",63.66,22.2,26.28,19.43
"131",64.64,22.49,26.5,19.61
"132",65.24,22.57,26.64,19.81
"133",66.16,22.78,26.63,20
"134",66.45,22.95,26.91,20.1
"135",66.11,22.93,27.11,20.06
"136",64.91,22.67,27.07,19.94
"137",65.56,22.82,27.16,20.1
"138",66.99,23.32,27.13,20.36
"139",67.44,23.48,27.22,20.38
"140",67.5,23.67,27.64,20.45
"141",67.67,23.8,27.56,20.43
"142",68.28,23.94,27.53,20.48
"143",68.87,24.09,27.47,20.48
"144",69.17,24.15,27.23,20.51
"145",69.13,24.11,27.12,20.47
"146",69.73,24.27,27.28,20.54
"147",69.41,24.28,27.18,20.45
"148",68.93,24.2,27.11,20.55
"149",69.16,24.15,27.21,20.57
"150",69.76,24.36,26.99,20.57
"151",69.06,24.38,26.93,20.53
"152",68.86,24.38,26.96,20.43
"153",69.27,24.5,26.75,20.35
"154",69.24,24.57,26.64,20.36
"155",68.59,24.45,26.73,20.2
"156",68.69,24.47,26.68,20.26
"157",69.56,24.58,26.7,20.28
"158",69.98,24.63,26.6,20.35
"159",70.26,24.7,26.76,20.37
"160",70.42,24.64,26.79,20.28
"161",70.15,24.53,26.83,20.19
"162",70.29,24.57,26.82,20.23
"163",70.29,24.59,27.91,20.33
"164",70.11,24.61,28.24,20.27
"165",70,24.54,28,20.26
"166",69.99,24.69,28.1,20.34
"167",69.61,24.8,27.91,20.41
"168",68.7,24.38,27.88,20.51
"169",69.32,24.37,27.98,20.55
"170",69.33,24.43,27.83,20.55
"171",69.92,24.61,27.58,20.5
"172",70.1,24.72,27.61,20.44
"173",69.76,24.58,27.55,20.42
"174",69.99,24.72,27.56,20.51
"175",69.72,24.7,27.62,20.48
"176",68.92,24.41,27.64,20.49
"177",69.12,24.35,27.55,20.41
"178",70.13,24.61,27.64,20.44
"179",70.64,24.82,27.44,20.37
"180",71.55,25,27.56,20.28
"181",71.58,25.06,27.46,20.29
"182",70.55,24.94,27.47,20.3
"183",69.37,24.61,26.95,20.07
"184",68.87,24.54,26.88,19.96
"185",68.82,24.49,26.94,20.24
"186",68.73,24.34,26.9,20.07
"187",70.31,24.67,26.88,20.16
"188",70.79,24.78,26.82,20.02
"189",71.15,24.87,26.74,19.91
"190",71.52,25.02,26.97,20.08
"191",71.75,25.02,26.99,20.19
"192",71.16,24.89,26.77,20.09
"193",71.88,25.07,26.65,20.21
"194",71.06,25.04,26.57,20.03
"195",71.33,25.04,26.66,20.07
"196",71.61,25.06,26.62,20
"197",71.63,25.08,26.7,19.96
"198",71.61,25.08,26.77,20.05
"199",71.69,25.09,26.84,20.09
"200",71.85,24.89,27.04,20.17
"201",71.96,24.94,26.92,20.06
"202",71.84,24.9,26.91,19.99
"203",71.54,24.72,26.89,20.03
"204",71.01,24.58,27,19.97
"205",71.67,24.78,26.86,20
"206",72.47,24.94,27.06,20
"207",72.61,24.98,26.99,20.02
"208",72.78,24.96,27.11,20.04
"209",72.77,25.04,27.38,20.09
"210",73.16,25.26,27.48,20.18
"211",73.04,23.84,27.34,20.03
"212",72.69,23.74,27.21,20.04
"213",72.55,23.75,27.35,20.03
"214",72.15,23.69,27.12,19.92
"215",72.44,23.71,27.19,19.94
"216",71.72,23.37,27.15,19.71
"217",71.3,23.14,27.2,19.62
"218",71.01,23.03,27.34,19.59
"219",71.83,23.23,27.25,19.77
"220",72.21,23.33,27.37,19.97
"221",70.77,22.84,26.99,19.5
"222",71.93,23.16,27.46,20.1
"223",70.2,22.74,27.55,20.3
"224",69.8,22.59,27.9,20.43
"225",69.93,22.71,27.84,20.46
"226",70.27,22.8,27.72,20.51
"227",70.06,22.63,27.63,20.55
"228",70.17,22.77,27.77,20.62
"229",70.39,22.9,27.89,20.73
"230",71.22,23.2,27.99,20.73
"231",71.73,23.22,28.18,20.88
"232",71.35,23.14,28.12,20.86
"233",71.44,23.23,28.1,20.9
"234",71.78,23.3,28.44,20.85
"235",71.82,23.28,28.57,20.75
"236",71.72,23.26,28.68,20.74
"237",71.95,23.33,28.73,20.81
"238",71.09,23.15,28.58,20.63
"239",71.01,23.01,28.22,20.61
"240",72.01,23.14,28.24,20.84
"241",72.11,23.19,28.1,20.99
"242",72.79,23.32,28.18,21.32
"243",73.08,23.41,28.29,21.23
"244",73.12,23.33,27.9,21.46
"245",72.87,23.28,27.58,21.49
"246",73.08,23.3,27.7,21.53
"247",72.72,23.27,27.28,21.51
"248",72.57,23.31,27.13,21.58
"249",72.01,23.11,27.08,21.53
"250",71.77,23.01,26.9,21.6
"251",71.71,23.02,26.99,21.73
"252",70.99,22.93,27,21.59
"253",70.56,22.84,26.97,21.58
"254",70.69,22.83,26.73,21.55
"255",70.73,22.88,27.04,21.56
"256",71.37,22.96,27.01,21.62
"257",71.35,22.97,26.96,21.55
"258",71.77,23.06,27,21.54
"259",71.76,23.1,27.23,21.56
"260",71.93,23.19,27.33,21.64
"261",72.25,23.25,27.47,21.59
"262",72.58,23.33,27.47,21.53
"263",72.71,23.34,27.46,21.61
"264",72.46,23.35,27.46,21.61
"265",72.51,23.48,27.3,21.55
"266",73.05,23.55,27.19,21.53
"267",72.66,23.54,27.11,21.48
"268",72.01,23.4,26.95,21.33
"269",72.29,23.45,27.2,21.39
"270",72.15,23.44,27.36,21.27
"271",71.93,23.38,27.39,21.34
"272",72.14,23.39,27.44,21.3
"273",72.87,23.44,27.6,21.27
"274",73.19,23.52,27.49,21.26
"275",73.12,23.57,27.56,21.26
"276",72.88,23.58,27.41,21.16
"277",73.21,23.85,27.33,21.17
"278",73.33,23.98,27.25,21.21
"279",71.66,24.12,27.14,21.12
"280",71.96,24.16,27.42,21.18
"281",72.64,24.36,27.56,21.31
"282",73.03,24.31,27.67,21.37
"283",73.3,24.43,27.58,21.4
"284",73.61,24.55,27.64,21.38
"285",73.62,24.47,27.53,21.41
"286",73.45,24.48,27.57,21.42
"287",73.45,24.45,27.42,21.32
"288",73.3,24.44,27.62,21.46
"289",73.21,24.24,27.77,21.51
"290",73.36,24.37,27.67,21.59
"291",73.3,24.46,27.68,21.62
"292",73.1,24.44,27.58,21.57
"293",72.64,24.51,27.56,21.59
"294",72.58,24.58,27.5,21.95
"295",72.14,24.48,27.26,22.02
"296",72.15,24.46,27.34,21.93
"297",72.45,24.49,27.29,21.92
"298",72.65,24.55,27.26,21.73
"299",72.11,24.5,27.06,21.85
"300",71.73,24.35,27.1,21.93
"301",72.38,24.46,27.13,21.92
"302",72.93,24.55,27.23,21.9
"303",72.84,24.61,27.15,21.75
"304",73.69,24.76,27.24,21.8
"305",73.97,24.8,27.2,21.74
"306",74.02,24.9,26.92,21.63
"307",74.61,25.06,26.92,21.62
"308",74.12,24.98,26.81,21.35
"309",74.39,25.01,26.88,21.43
"310",74.2,24.98,26.9,21.42
"311",74.2,24.9,27.06,21.07
"312",74.29,24.76,26.87,21.07
"313",74.21,24.79,26.78,21.33
"314",74.03,24.78,26.66,21.41
"315",73.86,24.76,26.72,21.57
"316",74.54,24.89,27.03,21.49
"317",74.43,24.86,27.12,21.26
"318",73.85,24.76,27.2,21.27
"319",74.12,24.81,27.27,21.35
"320",74.02,24.65,27.07,21.38
"321",73.94,24.47,27.18,21.38
"322",74.33,24.48,27.08,21.19
"323",73.66,24.3,26.92,21.13
"324",73.63,24.11,26.69,21.01
"325",73.75,24.22,26.76,21.17
"326",72.89,24.09,26.53,21.13
"327",72.69,24.01,26.56,21.21
"328",73.35,24.08,26.69,21.29
"329",73.65,24.09,26.42,21.35
"330",74.17,24.19,26.45,21.42
"331",74.57,24.38,26.41,21.41
"332",74.33,24.41,26.24,21.48
"333",74.48,24.46,26.31,21.52
"334",75.25,24.55,26.31,21.44
"335",75.5,24.56,26.16,21.43
"336",75.51,24.56,26.11,21.49
"337",75.24,24.56,25.93,21.46
"338",75.45,24.57,25.79,21.56
"339",76.2,24.55,25.8,21.53
"340",76.14,24.47,26.01,21.57
"341",76.37,24.47,25.86,21.56
"342",76.31,24.53,26.09,21.44
"343",76.44,24.66,26.4,21.47
"344",76.39,24.76,26.25,21.51
"345",76.18,24.72,26.35,21.42
"346",75.7,24.6,26.27,21.28
"347",75.82,24.67,26.32,21.31
"348",76,24.74,26.29,21.37
"349",76.19,24.76,26.38,21.44
"350",76.34,24.73,26.37,21.57
"351",76.91,24.8,26.63,21.63
"352",76.89,24.89,27.04,21.62
"353",76.69,24.85,27.24,21.61
"354",76.67,24.84,27.37,21.59
"355",77.18,24.85,27.43,21.72
"356",77.33,24.89,27.47,21.69
"357",77.56,24.95,27.33,21.7
"358",77.88,25,27.24,21.6
"359",77.98,24.98,27.59,21.6
"360",78.13,24.97,27.66,21.67
"361",78.15,25.04,27.93,21.64
"362",77.25,25.08,28.01,21.58
"363",77.14,25.15,27.92,21.77
"364",76.89,25.11,27.9,21.83
"365",76.78,24.96,27.76,21.85
"366",77.3,25,27.85,21.92
"367",78.35,25.19,27.95,21.98
"368",79.3,25.29,27.99,22.17
"369",79.69,25.35,27.95,22.17
"370",79.78,25.53,28.32,22.15
"371",79.76,25.5,28.23,22.19
"372",80.84,25.65,28.58,22.13
"373",81.19,25.76,28.58,22.09
"374",80.52,25.61,28.7,21.91
"375",80.84,25.64,28.82,22.05
"376",80.11,25.54,28.9,21.92
"377",80.4,25.67,28.94,21.99
"378",80.32,25.7,28.74,22.04
"379",80.26,25.61,28.74,22.08
"380",80.35,25.64,29.02,22.07
"381",79.95,25.58,29.08,21.92
"382",80.22,25.58,29.19,22.1
"383",81.24,25.76,29.31,22.1
"384",81.59,25.93,29.46,22.07
"385",82.17,26.01,29.41,22.1
"386",81.99,26.05,29.58,22.12
"387",82.27,26.12,29.76,22.2
"388",82.2,26.1,29.64,22.22
"389",82.71,26.24,29.86,22.22
"390",82.7,26.26,30.21,22.38
"391",82.19,26.13,30.32,22.47
"392",82.08,26,30.26,22.37
"393",82.3,26.14,30.28,22.36
"394",82.35,26.16,30.12,22.41
"395",82.79,26.19,30.02,22.37
"396",82.23,26.19,30.04,22.24
"397",81.35,26.09,30.17,22.27
"398",81.88,26.17,30.33,22.25
"399",82.44,26.27,30.5,22.35
"400",82.13,26.24,30.41,22.34
"401",82.25,26.26,30.26,22.24
"402",82.82,26.34,30.09,22.28
"403",82.89,26.37,30.2,22.28
"404",82.23,26.3,30.17,22.24
"405",81.64,25.93,30.06,22.25
"406",81.07,25.77,29.87,22.05
"407",81.08,25.58,29.7,22.18
"408",81.22,25.63,29.97,22.3
"409",80.81,25.64,29.82,22.32
"410",81.51,25.81,29.99,22.29
"411",80.95,25.66,30,22.02
"412",80.99,25.65,30.19,21.97
"413",81.78,25.75,30.35,22
"414",82.02,25.87,30.45,22.09
"415",82.37,25.91,30.49,22.07
"416",82.65,25.94,30.56,21.98
"417",82.59,25.96,31.24,21.95
"418",82.19,25.89,31.42,21.9
"419",82.76,25.93,31.57,21.96
"420",82.94,26.09,31.33,22.06
"421",83.01,26.23,31.46,22.22
"422",82.97,26.21,31.46,22.08
"423",82.8,26.26,31.59,22.08
"424",82.7,26.25,31.57,22.06
"425",82.52,26.21,31.59,22.1
